codigo,codigo_pai,nome,situacao,nivel,tem_filhos,caminho
12168,12166,Preparada para Envio,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Requisição de Pagamento > Precatório > Preparada para Envio
12169,12166,Paga,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Requisição de Pagamento > Precatório > Paga
12170,12166,Cancelada,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Requisição de Pagamento > Precatório > Cancelada
12171,12166,Retificado,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Requisição de Pagamento > Precatório > Retificado
12172,12166,Suspensão,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Requisição de Pagamento > Precatório > Suspensão
12173,12165,Pequeno Valor,A,4,True,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Requisição de Pagamento > Pequeno Valor
12174,12173,Enviada ao Tribunal/Ente Devedor,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Requisição de Pagamento > Pequeno Valor > Enviada ao Tribunal/Ente Devedor
12175,12173,Preparada para Envio,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Requisição de Pagamento > Pequeno Valor > Preparada para Envio
12176,12173,Paga,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Requisição de Pagamento > Pequeno Valor > Paga
12177,12173,Cancelada,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Requisição de Pagamento > Pequeno Valor > Cancelada
12178,12173,Retificada,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Requisição de Pagamento > Pequeno Valor > Retificada
12179,12173,Suspensão,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Requisição de Pagamento > Pequeno Valor > Suspensão
12180,11395,Prestação de Serviços à Comunidade,A,5,False,Magistrado > Decisão > Concessão > Remissão ao Adolescente como Forma de Suspensão do Processo > Prestação de Serviços à Comunidade
12181,11395,Reparação do Dano,A,5,False,Magistrado > Decisão > Concessão > Remissão ao Adolescente como Forma de Suspensão do Processo > Reparação do Dano
12182,11395,Liberdade Assistida,A,5,False,Magistrado > Decisão > Concessão > Remissão ao Adolescente como Forma de Suspensão do Processo > Liberdade Assistida
12183,11395,Justiça Restaurativa,A,5,False,Magistrado > Decisão > Concessão > Remissão ao Adolescente como Forma de Suspensão do Processo > Justiça Restaurativa
12184,218,Suspensão Condicional do Processo,I,4,False,Magistrado > Julgamento > Sem Resolução de Mérito > Suspensão Condicional do Processo
